level	processor
1312	System Memory 0x1e00010000000000 to System Memory 0x1e00040000000000 Channel
1597	System Memory 0x1e00050000000000 to System Memory 0x1e00070000000000 Channel
1218	System Memory 0x1e00000000000000 to System Memory 0x1e00010000000000 Channel
1318	System Memory 0x1e00010000000000 to System Memory 0x1e00050000000000 Channel
1575	System Memory 0x1e00050000000000 to System Memory 0x1e00040000000000 Channel
1352	System Memory 0x1e00020000000000 to System Memory 0x1e00010000000000 Channel
1426	System Memory 0x1e00030000000000 to System Memory 0x1e00020000000000 Channel
1374	System Memory 0x1e00020000000000 to System Memory 0x1e00040000000000 Channel
1531	System Memory 0x1e00040000000000 to System Memory 0x1e00070000000000 Channel
1653	System Memory 0x1e00060000000000 to System Memory 0x1e00060000000000 Channel
1417	System Memory 0x1e00030000000000 to System Memory 0x1e00010000000000 Channel
1356	System Memory 0x1e00020000000000 to System Memory 0x1e00020000000000 Channel
1473	System Memory 0x1e00040000000000 to System Memory 0x1e00000000000000 Channel
1579	System Memory 0x1e00050000000000 to System Memory 0x1e00050000000000 Channel
1696	System Memory 0x1e00070000000000 to System Memory 0x1e00030000000000 Channel
1336	System Memory 0x1e00010000000000 to System Memory 0x1e00070000000000 Channel
1678	System Memory 0x1e00070000000000 to System Memory 0x1e00010000000000 Channel
1210	System Memory 0x1e00000000000000 to System Memory 0x1e00000000000000 Channel
1606	System Memory 0x1e00060000000000 to System Memory 0x1e00000000000000 Channel
1227	System Memory 0x1e00000000000000 to System Memory 0x1e00020000000000 Channel
1513	System Memory 0x1e00040000000000 to System Memory 0x1e00050000000000 Channel
1631	System Memory 0x1e00060000000000 to System Memory 0x1e00030000000000 Channel
1714	System Memory 0x1e00070000000000 to System Memory 0x1e00050000000000 Channel
1236	System Memory 0x1e00000000000000 to System Memory 0x1e00030000000000 Channel
1263	System Memory 0x1e00000000000000 to System Memory 0x1e00060000000000 Channel
1662	System Memory 0x1e00060000000000 to System Memory 0x1e00070000000000 Channel
1705	System Memory 0x1e00070000000000 to System Memory 0x1e00040000000000 Channel
1294	System Memory 0x1e00010000000000 to System Memory 0x1e00020000000000 Channel
1557	System Memory 0x1e00050000000000 to System Memory 0x1e00020000000000 Channel
1457	System Memory 0x1e00030000000000 to System Memory 0x1e00060000000000 Channel
1383	System Memory 0x1e00020000000000 to System Memory 0x1e00050000000000 Channel
1410	System Memory 0x1e00030000000000 to System Memory 0x1e00000000000000 Channel
1727	System Memory 0x1e00070000000000 to System Memory 0x1e00070000000000 Channel
1245	System Memory 0x1e00000000000000 to System Memory 0x1e00040000000000 Channel
1649	System Memory 0x1e00060000000000 to System Memory 0x1e00050000000000 Channel
1588	System Memory 0x1e00050000000000 to System Memory 0x1e00060000000000 Channel
1327	System Memory 0x1e00010000000000 to System Memory 0x1e00060000000000 Channel
1482	System Memory 0x1e00040000000000 to System Memory 0x1e00010000000000 Channel
1671	System Memory 0x1e00070000000000 to System Memory 0x1e00000000000000 Channel
1401	System Memory 0x1e00020000000000 to System Memory 0x1e00070000000000 Channel
1466	System Memory 0x1e00030000000000 to System Memory 0x1e00070000000000 Channel
1303	System Memory 0x1e00010000000000 to System Memory 0x1e00030000000000 Channel
1448	System Memory 0x1e00030000000000 to System Memory 0x1e00050000000000 Channel
1687	System Memory 0x1e00070000000000 to System Memory 0x1e00020000000000 Channel
1365	System Memory 0x1e00020000000000 to System Memory 0x1e00030000000000 Channel
1392	System Memory 0x1e00020000000000 to System Memory 0x1e00060000000000 Channel
2825	System Memory 0x1e00020000000000
4289	System Memory 0x1e00060000000000
3191	System Memory 0x1e00030000000000
2093	System Memory 0x1e00000000000000
3557	System Memory 0x1e00040000000000
3923	System Memory 0x1e00050000000000
4655	System Memory 0x1e00070000000000
2459	System Memory 0x1e00010000000000
